state,city,lat,lon,price_per_gallon,name
CA,San Francisco,37.7749,-122.4194,4.89,SF Downtown
CA,Oakland,37.8044,-122.2712,4.72,Oakland
CA,Sacramento,38.5816,-121.4944,4.45,Sacramento
CA,San Jose,37.3382,-121.8863,4.95,San Jose
NV,Reno,39.5296,-119.8138,4.12,Reno
NV,Las Vegas,36.1699,-115.1398,3.89,Las Vegas
UT,Salt Lake City,40.7608,-111.8910,3.65,Salt Lake City
WY,Cheyenne,41.1400,-104.8202,3.42,Cheyenne
NE,Omaha,41.2565,-95.9345,3.38,Omaha
IA,Des Moines,41.5868,-93.6250,3.35,Des Moines
IL,Chicago,41.8781,-87.6298,4.15,Chicago
IN,Indianapolis,39.7684,-86.1581,3.72,Indianapolis
OH,Cleveland,41.4993,-81.6944,3.58,Cleveland
OH,Columbus,39.9612,-82.9988,3.62,Columbus
PA,Pittsburgh,40.4406,-79.9959,3.85,Pittsburgh
PA,Philadelphia,39.9526,-75.1652,3.92,Philadelphia
NY,New York,40.7128,-74.0060,4.25,New York
NJ,Newark,40.7357,-74.1724,4.18,Newark
TX,Houston,29.7604,-95.3698,3.25,Houston
TX,Dallas,32.7767,-96.7970,3.28,Dallas
TX,San Antonio,29.4241,-98.4936,3.22,San Antonio
TX,El Paso,31.7619,-106.4850,3.45,El Paso
OK,Oklahoma City,35.4676,-97.5164,3.18,Oklahoma City
NM,Albuquerque,35.0844,-106.6504,3.42,Albuquerque
AZ,Phoenix,33.4484,-112.0740,3.75,Phoenix
AZ,Tucson,32.2226,-110.9747,3.68,Tucson
CO,Denver,39.7392,-104.9903,3.55,Denver
KS,Wichita,37.6872,-97.3301,3.28,Wichita
MO,Kansas City,39.0997,-94.5786,3.32,Kansas City
MO,St Louis,38.6270,-90.1994,3.45,St Louis
TN,Nashville,36.1627,-86.7816,3.42,Nashville
TN,Memphis,35.1495,-90.0490,3.38,Memphis
GA,Atlanta,33.7490,-84.3880,3.55,Atlanta
FL,Miami,25.7617,-80.1918,3.72,Miami
FL,Jacksonville,30.3322,-81.6557,3.48,Jacksonville
NC,Charlotte,35.2271,-80.8431,3.45,Charlotte
VA,Richmond,37.5407,-77.4360,3.52,Richmond
DC,Washington,38.9072,-77.0369,4.05,Washington DC
MA,Boston,42.3601,-71.0589,4.12,Boston
MI,Detroit,42.3314,-83.0458,3.88,Detroit
MN,Minneapolis,44.9778,-93.2650,3.65,Minneapolis
WA,Seattle,47.6062,-122.3321,4.55,Seattle
OR,Portland,45.5152,-122.6784,4.42,Portland
ID,Boise,43.6150,-116.2023,3.85,Boise
MT,Billings,45.7833,-108.5007,3.62,Billings
SD,Sioux Falls,43.5446,-96.7311,3.35,Sioux Falls
LA,New Orleans,29.9511,-90.0715,3.48,New Orleans
MS,Jackson,32.2988,-90.1848,3.32,Jackson
AL,Birmingham,33.5207,-86.8025,3.38,Birmingham
SC,Columbia,34.0007,-81.0348,3.42,Columbia
WV,Charleston,38.3498,-81.6326,3.55,Charleston
KY,Louisville,38.2527,-85.7585,3.48,Louisville
WI,Milwaukee,43.0389,-87.9065,3.72,Milwaukee
IA,Davenport,41.5236,-90.5776,3.38,Davenport
NE,Lincoln,40.8258,-96.6852,3.35,Lincoln
CO,Grand Junction,39.0639,-108.5506,3.65,Grand Junction
UT,Green River,38.9950,-110.1618,3.72,Green River
WY,Rock Springs,41.5875,-109.2029,3.55,Rock Springs
